Date,Home Team,Away Team,Predicted Winner,Home Win %,Confidence,Actual Winner,team_wpct,opp_wpct,team_rpg,opp_rpg,pitcher_era,opp_pitcher_era,bullpen_era,opp_bullpen_era,park_factor,temp,wind_speed,wind_dir_out,home,Game Time,Model Edge,pitcher_recent_delta,opp_pitcher_recent_delta,Correct?
5/9/26,Milwaukee Brewers,New York Yankees,,,,Milwaukee Brewers,,,,,,,,,,,,,,,,,,
5/9/26,Chicago White Sox,Seattle Mariners,,,,Chicago White Sox,,,,,,,,,,,,,,,,,,
5/9/26,Arizona Diamondbacks,New York Mets,,,,New York Mets,,,,,,,,,,,,,,,,,,
5/9/26,San Diego Padres,St. Louis Cardinals,,,,St. Louis Cardinals,,,,,,,,,,,,,,,,,,
5/9/26,San Francisco Giants,Pittsburgh Pirates,,,,Pittsburgh Pirates,,,,,,,,,,,,,,,,,,
5/9/26,Los Angeles Dodgers,Atlanta Braves,,,,Atlanta Braves,,,,,,,,,,,,,,,,,,
5/9/26,Texas Rangers,Chicago Cubs,,,,Texas Rangers,,,,,,,,,,,,,,,,,,
5/9/26,Houston Astros,Cincinnati Reds,,,,Houston Astros,,,,,,,,,,,,,,,,,,
5/10/26,Miami Marlins,Washington Nationals,,,,Washington Nationals,,,,,,,,,,,,,,,,,,
5/10/26,Baltimore Orioles,Oakland Athletics,,,,Oakland Athletics,,,,,,,,,,,,,,,,,,
5/10/26,Philadelphia Phillies,Colorado Rockies,,,,Philadelphia Phillies,,,,,,,,,,,,,,,,,,
5/10/26,Boston Red Sox,Tampa Bay Rays,,,,Tampa Bay Rays,,,,,,,,,,,,,,,,,,
5/10/26,Toronto Blue Jays,Los Angeles Angels,,,,Toronto Blue Jays,,,,,,,,,,,,,,,,,,
5/10/26,Cincinnati Reds,Houston Astros,,,,Cincinnati Reds,,,,,,,,,,,,,,,,,,
5/10/26,Cleveland Guardians,Minnesota Twins,,,,Minnesota Twins,,,,,,,,,,,,,,,,,,
5/10/26,Milwaukee Brewers,New York Yankees,,,,Milwaukee Brewers,,,,,,,,,,,,,,,,,,
5/10/26,Chicago White Sox,Seattle Mariners,,,,Chicago White Sox,,,,,,,,,,,,,,,,,,
5/10/26,Texas Rangers,Chicago Cubs,,,,Chicago Cubs,,,,,,,,,,,,,,,,,,
5/10/26,San Francisco Giants,Pittsburgh Pirates,,,,San Francisco Giants,,,,,,,,,,,,,,,,,,
5/10/26,Los Angeles Dodgers,Atlanta Braves,,,,Atlanta Braves,,,,,,,,,,,,,,,,,,
5/10/26,Arizona Diamondbacks,New York Mets,,,,Arizona Diamondbacks,,,,,,,,,,,,,,,,,,
5/10/26,San Diego Padres,St. Louis Cardinals,,,,St. Louis Cardinals,,,,,,,,,,,,,,,,,,
5/10/26,Kansas City Royals,Detroit Tigers,,,,Kansas City Royals,,,,,,,,,,,,,,,,,,
5/11/26,Cleveland Guardians,Los Angeles Angels,,,,Los Angeles Angels,,,,,,,,,,,,,,,,,,
5/11/26,Baltimore Orioles,New York Yankees,,,,New York Yankees,,,,,,,,,,,,,,,,,,
5/11/26,Toronto Blue Jays,Tampa Bay Rays,,,,Tampa Bay Rays,,,,,,,,,,,,,,,,,,
5/11/26,Texas Rangers,Arizona Diamondbacks,,,,Arizona Diamondbacks,,,,,,,,,,,,,,,,,,
5/11/26,Houston Astros,Seattle Mariners,,,,Seattle Mariners,,,,,,,,,,,,,,,,,,
5/11/26,Los Angeles Dodgers,San Francisco Giants,,,,San Francisco Giants,,,,,,,,,,,,,,,,,,
5/12/26,Cleveland Guardians,Los Angeles Angels,,,,Cleveland Guardians,,,,,,,,,,,,,,,,,,
5/12/26,Baltimore Orioles,New York Yankees,,,,New York Yankees,,,,,,,,,,,,,,,,,,
